fpl_code,player_uid,display_name,club_short_name,national_team,reached_round,elimination_date,wc_appearances,wc_minutes,return_to_training_date,fatigue_prior,notes,source,observed_at
116216,,Trossard,ARS,Belgium,qf,2026-07-10,6,510,,extreme,,Premier League squad list https://www.premierleague.com/en/news/4676821/updated-premier-league-players-appearing-at-fifa-world-cup-2026-by-nation; FIFA final standings https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/final-tournament-standings; FotMob minutes https://www.fotmob.com/leagues/77/stats/season/24254/players/mins_played/world-cup; Premier League finalist notes https://www.premierleague.com/en/news/4679876/which-premier-league-players-will-win-the-2026-world-cup; targeted minute checks: https://www.givemesport.com/england-2026-world-cup-players-ranked-worst-best-football-soccer/ https://www.newsandstar.co.uk/news/26292262.dean-henderson-handed-first-world-cup-appearance-england/ https://last5games.com/players/kobbie-mainoo-37540234/ https://terrikon.com/en/football/players/33283; FPL bootstrap 20260721T171247Z; openfootball cross-check https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-07-21T17:21:28Z
226597,,Gabriel,ARS,Brazil,r16,2026-07-05,5,450,,extreme,join_token_subset;source_name_Gabriel_Magalhaes,Premier League squad list https://www.premierleague.com/en/news/4676821/updated-premier-league-players-appearing-at-fifa-world-cup-2026-by-nation; FIFA final standings https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/final-tournament-standings; FotMob minutes https://www.fotmob.com/leagues/77/stats/season/24254/players/mins_played/world-cup; Premier League finalist notes https://www.premierleague.com/en/news/4679876/which-premier-league-players-will-win-the-2026-world-cup; targeted minute checks: https://www.givemesport.com/england-2026-world-cup-players-ranked-worst-best-football-soccer/ https://www.newsandstar.co.uk/news/26292262.dean-henderson-handed-first-world-cup-appearance-england/ https://last5games.com/players/kobbie-mainoo-37540234/ https://terrikon.com/en/football/players/33283; FPL bootstrap 20260721T171247Z; openfootball cross-check https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-07-21T17:21:28Z
444145,,Martinelli,ARS,Brazil,r16,2026-07-05,4,141,,moderate,join_token_subset;source_name_Gabriel_Martinelli,Premier League squad list https://www.premierleague.com/en/news/4676821/updated-premier-league-players-appearing-at-fifa-world-cup-2026-by-nation; FIFA final standings https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/final-tournament-standings; FotMob minutes https://www.fotmob.com/leagues/77/stats/season/24254/players/mins_played/world-cup; Premier League finalist notes https://www.premierleague.com/en/news/4679876/which-premier-league-players-will-win-the-2026-world-cup; targeted minute checks: https://www.givemesport.com/england-2026-world-cup-players-ranked-worst-best-football-soccer/ https://www.newsandstar.co.uk/news/26292262.dean-henderson-handed-first-world-cup-appearance-england/ https://last5games.com/players/kobbie-mainoo-37540234/ https://terrikon.com/en/football/players/33283; FPL bootstrap 20260721T171247Z; openfootball cross-check https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-07-21T17:21:28Z
448104,,Hincapie,ARS,Ecuador,r32,2026-06-30,4,341,,moderate,,Premier League squad list https://www.premierleague.com/en/news/4676821/updated-premier-league-players-appearing-at-fifa-world-cup-2026-by-nation; FIFA final standings https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/final-tournament-standings; FotMob minutes https://www.fotmob.com/leagues/77/stats/season/24254/players/mins_played/world-cup; Premier League finalist notes https://www.premierleague.com/en/news/4679876/which-premier-league-players-will-win-the-2026-world-cup; targeted minute checks: https://www.givemesport.com/england-2026-world-cup-players-ranked-worst-best-football-soccer/ https://www.newsandstar.co.uk/news/26292262.dean-henderson-handed-first-world-cup-appearance-england/ https://last5games.com/players/kobbie-mainoo-37540234/ https://terrikon.com/en/football/players/33283; FPL bootstrap 20260721T171247Z; openfootball cross-check https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-07-21T17:21:28Z
232413,,Eze,ARS,England,third,2026-07-18,4,130,,high,,Premier League squad list https://www.premierleague.com/en/news/4676821/updated-premier-league-players-appearing-at-fifa-world-cup-2026-by-nation; FIFA final standings https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/final-tournament-standings; FotMob minutes https://www.fotmob.com/leagues/77/stats/season/24254/players/mins_played/world-cup; Premier League finalist notes https://www.premierleague.com/en/news/4679876/which-premier-league-players-will-win-the-2026-world-cup; targeted minute checks: https://www.givemesport.com/england-2026-world-cup-players-ranked-worst-best-football-soccer/ https://www.newsandstar.co.uk/news/26292262.dean-henderson-handed-first-world-cup-appearance-england/ https://last5games.com/players/kobbie-mainoo-37540234/ https://terrikon.com/en/football/players/33283; FPL bootstrap 20260721T171247Z; openfootball cross-check https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-07-21T17:21:28Z
248857,,Madueke,ARS,England,third,2026-07-18,5,288,,high,,Premier League squad list https://www.premierleague.com/en/news/4676821/updated-premier-league-players-appearing-at-fifa-world-cup-2026-by-nation; FIFA final standings https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/final-tournament-standings; FotMob minutes https://www.fotmob.com/leagues/77/stats/season/24254/players/mins_played/world-cup; Premier League finalist notes https://www.premierleague.com/en/news/4679876/which-premier-league-players-will-win-the-2026-world-cup; targeted minute checks: https://www.givemesport.com/england-2026-world-cup-players-ranked-worst-best-football-soccer/ https://www.newsandstar.co.uk/news/26292262.dean-henderson-handed-first-world-cup-appearance-england/ https://last5games.com/players/kobbie-mainoo-37540234/ https://terrikon.com/en/football/players/33283; FPL bootstrap 20260721T171247Z; openfootball cross-check https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-07-21T17:21:28Z
204480,,Rice,ARS,England,third,2026-07-18,5,386,,high,,Premier League squad list https://www.premierleague.com/en/news/4676821/updated-premier-league-players-appearing-at-fifa-world-cup-2026-by-nation; FIFA final standings https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/final-tournament-standings; FotMob minutes https://www.fotmob.com/leagues/77/stats/season/24254/players/mins_played/world-cup; Premier League finalist notes https://www.premierleague.com/en/news/4679876/which-premier-league-players-will-win-the-2026-world-cup; targeted minute checks: https://www.givemesport.com/england-2026-world-cup-players-ranked-worst-best-football-soccer/ https://www.newsandstar.co.uk/news/26292262.dean-henderson-handed-first-world-cup-appearance-england/ https://last5games.com/players/kobbie-mainoo-37540234/ https://terrikon.com/en/football/players/33283; FPL bootstrap 20260721T171247Z; openfootball cross-check https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-07-21T17:21:28Z
223340,,Saka,ARS,England,third,2026-07-18,6,267,,high,,Premier League squad list https://www.premierleague.com/en/news/4676821/updated-premier-league-players-appearing-at-fifa-world-cup-2026-by-nation; FIFA final standings https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/final-tournament-standings; FotMob minutes https://www.fotmob.com/leagues/77/stats/season/24254/players/mins_played/world-cup; Premier League finalist notes https://www.premierleague.com/en/news/4679876/which-premier-league-players-will-win-the-2026-world-cup; targeted minute checks: https://www.givemesport.com/england-2026-world-cup-players-ranked-worst-best-football-soccer/ https://www.newsandstar.co.uk/news/26292262.dean-henderson-handed-first-world-cup-appearance-england/ https://last5games.com/players/kobbie-mainoo-37540234/ https://terrikon.com/en/football/players/33283; FPL bootstrap 20260721T171247Z; openfootball cross-check https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-07-21T17:21:28Z
462424,,Saliba,ARS,France,third,2026-07-18,6,480,,extreme,,Premier League squad list https://www.premierleague.com/en/news/4676821/updated-premier-league-players-appearing-at-fifa-world-cup-2026-by-nation; FIFA final standings https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/final-tournament-standings; FotMob minutes https://www.fotmob.com/leagues/77/stats/season/24254/players/mins_played/world-cup; Premier League finalist notes https://www.premierleague.com/en/news/4679876/which-premier-league-players-will-win-the-2026-world-cup; targeted minute checks: https://www.givemesport.com/england-2026-world-cup-players-ranked-worst-best-football-soccer/ https://www.newsandstar.co.uk/news/26292262.dean-henderson-handed-first-world-cup-appearance-england/ https://last5games.com/players/kobbie-mainoo-37540234/ https://terrikon.com/en/football/players/33283; FPL bootstrap 20260721T171247Z; openfootball cross-check https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-07-21T17:21:28Z
219847,,Havertz,ARS,Germany,r32,2026-06-29,4,355,,moderate,,Premier League squad list https://www.premierleague.com/en/news/4676821/updated-premier-league-players-appearing-at-fifa-world-cup-2026-by-nation; FIFA final standings https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/final-tournament-standings; FotMob minutes https://www.fotmob.com/leagues/77/stats/season/24254/players/mins_played/world-cup; Premier League finalist notes https://www.premierleague.com/en/news/4679876/which-premier-league-players-will-win-the-2026-world-cup; targeted minute checks: https://www.givemesport.com/england-2026-world-cup-players-ranked-worst-best-football-soccer/ https://www.newsandstar.co.uk/news/26292262.dean-henderson-handed-first-world-cup-appearance-england/ https://last5games.com/players/kobbie-mainoo-37540234/ https://terrikon.com/en/football/players/33283; FPL bootstrap 20260721T171247Z; openfootball cross-check https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-07-21T17:21:28Z
